,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
3980,1,Doja Cat - Paint The Town Red,68,1,45,16920,IE,3.0
3981,2,Tate McRae - greedy,27,2,9,14619,IE,2.0
3982,3,Drake - IDGAF,6,3,1,13364,IE,10.0
3983,4,Drake - First Person Shooter,6,3,2,12624,IE,11.0
3984,5,Drake - Virginia Beach,6,2,2,12359,IE,12.0
3985,6,Olivia Rodrigo - vampire,104,1,22,10868,IE,4.0
3986,7,Taylor Swift - Cruel Summer,245,1,13,10731,IE,5.0
3997,18,Dua Lipa - Dance The Night,139,1,19,7035,IE,8.0
4001,22,Dave & Central Cee - Sprinter,132,2,20,6672,IE,16.0
4009,30,Billie Eilish - What Was I Made For,90,2,10,5425,IE,20.0
4011,32,Miley Cyrus - Flowers,272,1,168,5145,IE,29.0
4012,33,Taylor Swift - Anti-Hero,356,1,50,5108,IE,14.0
4018,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,IE,40.0
4021,42,Harry Styles - As It Was,559,1,177,4017,IE,32.0
4027,48,David Kushner - Daylight,181,2,14,3657,IE,92.0
4028,49,The Weeknd - Blinding Lights,1354,1,114,3624,IE,95.0
4041,62,Taylor Swift - Lover,412,3,13,2739,IE,55.0
4049,70,SZA - Kill Bill,307,1,3,2487,IE,149.0
4066,87,OneRepublic - I Ain't Worried,492,2,27,1833,IE,101.0
4090,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,IE,129.0
4102,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,IE,200.0
4105,126,Ed Sheeran - Perfect,1982,1,2,1446,IE,164.0
4147,168,Glass Animals - Heat Waves,1029,2,13,1177,IE,168.0
4177,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,IE,151.0
4179,1,Doja Cat - Paint The Town Red,68,1,45,16920,IN,35.0
4180,2,Tate McRae - greedy,27,2,9,14619,IN,57.0
4181,3,Drake - IDGAF,6,3,1,13364,IN,94.0
4182,4,Drake - First Person Shooter,6,3,2,12624,IN,37.0
4183,5,Drake - Virginia Beach,6,2,2,12359,IN,68.0
4185,7,Taylor Swift - Cruel Summer,245,1,13,10731,IN,163.0
4217,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,IN,45.0
