,Chart Position,Position Duration,Peak,(x?),Points,Country Rank
596,2,27,2,9,14619,3
597,3,6,3,1,13364,2
598,4,6,3,2,12624,7
599,5,6,2,2,12359,6
600,6,104,1,22,10868,16
601,7,245,1,13,10731,56
602,18,139,1,19,7035,22
603,22,132,2,20,6672,9
604,30,90,2,10,5425,26
605,32,272,1,168,5145,27
606,33,356,1,50,5108,45
607,39,393,2,32,4261,67
608,42,559,1,177,4017,54
609,48,181,2,14,3657,15
610,49,1354,1,114,3624,64
611,87,492,2,27,1833,93
612,123,110,2,2,1468,85
613,145,73,2,2,1301,66
614,168,1029,2,13,1177,97
615,198,787,1,41,1056,92
616,1,68,1,45,16920,4
617,2,27,2,9,14619,2
618,3,6,3,1,13364,194
619,4,6,3,2,12624,126
620,5,6,2,2,12359,151
621,6,104,1,22,10868,5
622,7,245,1,13,10731,8
623,18,139,1,19,7035,56
624,22,132,2,20,6672,190
625,30,90,2,10,5425,13
626,32,272,1,168,5145,71
627,33,356,1,50,5108,55
628,39,393,2,32,4261,25
629,42,559,1,177,4017,51
630,49,1354,1,114,3624,67
631,62,412,3,13,2739,45
632,70,307,1,3,2487,18
633,87,492,2,27,1833,117
634,111,1087,3,19,1544,109
635,126,1982,1,2,1446,47
636,185,432,2,17,1110,81
637,3,6,3,1,13364,95
638,4,6,3,2,12624,70
639,5,6,2,2,12359,88
640,22,132,2,20,6672,82
641,185,432,2,17,1110,200
642,1,68,1,45,16920,3
643,2,27,2,9,14619,1
644,3,6,3,1,13364,7
645,4,6,3,2,12624,5
646,5,6,2,2,12359,8
647,6,104,1,22,10868,9
648,7,245,1,13,10731,19
649,18,139,1,19,7035,11
650,22,132,2,20,6672,16
651,30,90,2,10,5425,13
652,32,272,1,168,5145,30
653,33,356,1,50,5108,53
654,39,393,2,32,4261,74
655,42,559,1,177,4017,50
656,48,181,2,14,3657,24
657,49,1354,1,114,3624,26
658,62,412,3,13,2739,83
659,70,307,1,3,2487,115
660,87,492,2,27,1833,124
661,111,1087,3,19,1544,135
662,123,110,2,2,1468,84
663,126,1982,1,2,1446,43
664,198,787,1,41,1056,172
665,1,68,1,45,16920,133
666,2,27,2,9,14619,152
667,6,104,1,22,10868,108
668,7,245,1,13,10731,96
669,42,559,1,177,4017,130
670,62,412,3,13,2739,160
671,1,68,1,45,16920,6
672,2,27,2,9,14619,7
673,4,6,3,2,12624,103
674,5,6,2,2,12359,98
675,6,104,1,22,10868,10
676,7,245,1,13,10731,2
677,18,139,1,19,7035,88
678,30,90,2,10,5425,20
679,32,272,1,168,5145,140
680,33,356,1,50,5108,16
681,39,393,2,32,4261,110
682,42,559,1,177,4017,85
683,62,412,3,13,2739,12
684,70,307,1,3,2487,54
685,111,1087,3,19,1544,167
686,126,1982,1,2,1446,178
687,185,432,2,17,1110,61
688,1,68,1,45,16920,2
689,2,27,2,9,14619,1
690,3,6,3,1,13364,6
691,4,6,3,2,12624,34
692,5,6,2,2,12359,39
693,6,104,1,22,10868,48
694,7,245,1,13,10731,51
695,18,139,1,19,7035,23
696,22,132,2,20,6672,56
697,30,90,2,10,5425,67
698,32,272,1,168,5145,38
699,33,356,1,50,5108,110
700,39,393,2,32,4261,97
701,42,559,1,177,4017,47
702,48,181,2,14,3657,28
703,49,1354,1,114,3624,53
704,84,76,1,3,1860,93
705,87,492,2,27,1833,65
706,123,110,2,2,1468,105
707,126,1982,1,2,1446,142
708,145,73,2,2,1301,66
709,168,1029,2,13,1177,155
710,198,787,1,41,1056,157
711,1,68,1,45,16920,23
712,2,27,2,9,14619,6
713,3,6,3,1,13364,3
714,4,6,3,2,12624,4
715,5,6,2,2,12359,2
716,6,104,1,22,10868,28
717,7,245,1,13,10731,60
718,18,139,1,19,7035,76
719,22,132,2,20,6672,24
720,30,90,2,10,5425,40
721,32,272,1,168,5145,74
722,42,559,1,177,4017,69
723,49,1354,1,114,3624,99
724,84,76,1,3,1860,65
725,145,73,2,2,1301,94
726,1,68,1,45,16920,13
727,2,27,2,9,14619,4
728,3,6,3,1,13364,1
729,4,6,3,2,12624,5
730,5,6,2,2,12359,6
731,6,104,1,22,10868,90
732,7,245,1,13,10731,157
733,22,132,2,20,6672,91
734,84,76,1,3,1860,52
735,145,73,2,2,1301,18
736,1,68,1,45,16920,14
737,2,27,2,9,14619,4
738,3,6,3,1,13364,3
739,4,6,3,2,12624,1
740,5,6,2,2,12359,2
741,6,104,1,22,10868,26
742,7,245,1,13,10731,22
743,18,139,1,19,7035,80
744,22,132,2,20,6672,49
745,30,90,2,10,5425,55
746,33,356,1,50,5108,75
747,39,393,2,32,4261,40
748,42,559,1,177,4017,72
749,48,181,2,14,3657,91
750,49,1354,1,114,3624,52
751,62,412,3,13,2739,77
752,70,307,1,3,2487,35
753,84,76,1,3,1860,45
754,126,1982,1,2,1446,88
755,145,73,2,2,1301,73
756,185,432,2,17,1110,64
757,1,68,1,45,16920,6
758,2,27,2,9,14619,7
759,3,6,3,1,13364,4
760,4,6,3,2,12624,3
761,5,6,2,2,12359,2
762,6,104,1,22,10868,12
763,7,245,1,13,10731,15
764,18,139,1,19,7035,27
765,22,132,2,20,6672,10
766,30,90,2,10,5425,26
767,32,272,1,168,5145,41
768,33,356,1,50,5108,37
769,39,393,2,32,4261,58
770,42,559,1,177,4017,65
771,48,181,2,14,3657,92
772,49,1354,1,114,3624,51
773,62,412,3,13,2739,164
774,70,307,1,3,2487,100
775,84,76,1,3,1860,184
776,111,1087,3,19,1544,193
777,123,110,2,2,1468,107
778,126,1982,1,2,1446,76
779,1,68,1,45,16920,15
780,2,27,2,9,14619,1
781,3,6,3,1,13364,2
782,4,6,3,2,12624,11
783,5,6,2,2,12359,13
784,6,104,1,22,10868,24
785,7,245,1,13,10731,29
786,18,139,1,19,7035,87
787,22,132,2,20,6672,37
788,1,68,1,45,16920,5
789,2,27,2,9,14619,2
790,3,6,3,1,13364,54
791,4,6,3,2,12624,49
792,5,6,2,2,12359,61
793,6,104,1,22,10868,7
794,7,245,1,13,10731,4
795,18,139,1,19,7035,13
796,30,90,2,10,5425,11
797,32,272,1,168,5145,35
798,33,356,1,50,5108,16
799,39,393,2,32,4261,21
800,42,559,1,177,4017,30
801,49,1354,1,114,3624,47
802,62,412,3,13,2739,28
803,70,307,1,3,2487,57
804,87,492,2,27,1833,44
805,111,1087,3,19,1544,51
806,126,1982,1,2,1446,24
807,1,68,1,45,16920,1
808,2,27,2,9,14619,2
809,3,6,3,1,13364,6
810,4,6,3,2,12624,16
811,5,6,2,2,12359,15
812,6,104,1,22,10868,38
813,7,245,1,13,10731,40
814,18,139,1,19,7035,39
815,22,132,2,20,6672,24
816,32,272,1,168,5145,54
817,39,393,2,32,4261,70
818,48,181,2,14,3657,62
819,49,1354,1,114,3624,76
820,84,76,1,3,1860,100
821,145,73,2,2,1301,49
822,1,68,1,45,16920,2
823,2,27,2,9,14619,1
824,3,6,3,1,13364,50
825,32,272,1,168,5145,70
826,48,181,2,14,3657,45
827,49,1354,1,114,3624,97
828,1,68,1,45,16920,13
829,2,27,2,9,14619,27
830,6,104,1,22,10868,52
831,7,245,1,13,10731,28
832,30,90,2,10,5425,166
833,33,356,1,50,5108,146
834,62,412,3,13,2739,116
835,70,307,1,3,2487,104
